epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1661308560371,2022-08-23T22.36.00.371,13.812,0.058,0.065,0.119
1661308560380,2022-08-23T22.36.00.380,13.821,0.040,0.059,0.117
1661308560391,2022-08-23T22.36.00.391,13.832,0.025,0.053,0.090
1661308560401,2022-08-23T22.36.00.401,13.842,0.028,0.054,0.065
1661308560411,2022-08-23T22.36.00.411,13.852,0.041,0.061,0.056
1661308560421,2022-08-23T22.36.00.421,13.862,0.039,0.066,0.038
1661308560430,2022-08-23T22.36.00.430,13.871,0.036,0.073,0.017
1661308560440,2022-08-23T22.36.00.440,13.881,0.051,0.078,0.012
1661308560451,2022-08-23T22.36.00.451,13.892,0.062,0.073,0.017
1661308560461,2022-08-23T22.36.00.461,13.902,0.063,0.069,0.031
1661308560471,2022-08-23T22.36.00.471,13.912,0.050,0.065,0.027
1661308560480,2022-08-23T22.36.00.480,13.921,0.044,0.058,0.012
1661308560490,2022-08-23T22.36.00.490,13.931,0.040,0.064,0.011
1661308560500,2022-08-23T22.36.00.500,13.941,0.036,0.079,0.017
1661308560511,2022-08-23T22.36.00.511,13.952,0.043,0.086,0.019
1661308560521,2022-08-23T22.36.00.521,13.962,0.055,0.074,-0.003
1661308560531,2022-08-23T22.36.00.531,13.972,0.062,0.060,-0.050
1661308560540,2022-08-23T22.36.00.540,13.981,0.063,0.055,-0.103
1661308560550,2022-08-23T22.36.00.550,13.991,0.053,0.067,-0.145
1661308560560,2022-08-23T22.36.00.560,14.001,0.045,0.088,-0.157
1661308560571,2022-08-23T22.36.00.571,14.012,0.041,0.105,-0.122
1661308560579,2022-08-23T22.36.00.579,14.020,0.029,0.115,-0.064
1661308560590,2022-08-23T22.36.00.590,14.031,0.034,0.110,-0.021
1661308560600,2022-08-23T22.36.00.600,14.041,0.054,0.093,-0.015
1661308560610,2022-08-23T22.36.00.610,14.051,0.059,0.074,-0.051
1661308560619,2022-08-23T22.36.00.619,14.060,0.059,0.073,-0.111
1661308560629,2022-08-23T22.36.00.629,14.070,0.066,0.073,-0.161
1661308560640,2022-08-23T22.36.00.640,14.081,0.067,0.072,-0.186
1661308560650,2022-08-23T22.36.00.650,14.091,0.051,0.076,-0.213
1661308560660,2022-08-23T22.36.00.660,14.101,0.032,0.078,-0.243
1661308560669,2022-08-23T22.36.00.669,14.110,0.018,0.080,-0.237
1661308560679,2022-08-23T22.36.00.679,14.120,0.007,0.076,-0.205
1661308560689,2022-08-23T22.36.00.689,14.130,-0.015,0.069,-0.178
1661308560700,2022-08-23T22.36.00.700,14.141,-0.017,0.056,-0.153
1661308560710,2022-08-23T22.36.00.710,14.151,0.015,0.035,-0.135
1661308560719,2022-08-23T22.36.00.719,14.160,0.028,0.019,-0.147
1661308560729,2022-08-23T22.36.00.729,14.170,0.009,0.017,-0.184
1661308560739,2022-08-23T22.36.00.739,14.180,-0.006,0.017,-0.201
1661308560749,2022-08-23T22.36.00.749,14.190,-0.015,0.027,-0.205
1661308560760,2022-08-23T22.36.00.760,14.201,-0.021,0.037,-0.208
1661308560768,2022-08-23T22.36.00.768,14.209,-0.013,0.039,-0.176
1661308560779,2022-08-23T22.36.00.779,14.220,-0.009,0.025,-0.135
1661308560789,2022-08-23T22.36.00.789,14.230,-0.027,0.005,-0.115
1661308560799,2022-08-23T22.36.00.799,14.240,-0.039,-0.010,-0.094
1661308560809,2022-08-23T22.36.00.809,14.250,-0.041,-0.018,-0.066
1661308560818,2022-08-23T22.36.00.818,14.259,-0.045,-0.013,-0.067
1661308560829,2022-08-23T22.36.00.829,14.270,-0.047,-0.015,-0.096
1661308560839,2022-08-23T22.36.00.839,14.280,-0.053,-0.018,-0.110
1661308560849,2022-08-23T22.36.00.849,14.290,-0.050,-0.019,-0.115
1661308560859,2022-08-23T22.36.00.859,14.300,-0.053,-0.020,-0.132
1661308560868,2022-08-23T22.36.00.868,14.309,-0.056,-0.026,-0.160
1661308560878,2022-08-23T22.36.00.878,14.319,-0.049,-0.033,-0.183
1661308560889,2022-08-23T22.36.00.889,14.330,-0.043,-0.039,-0.210
1661308560899,2022-08-23T22.36.00.899,14.340,-0.040,-0.047,-0.247
1661308560908,2022-08-23T22.36.00.908,14.349,-0.045,-0.051,-0.282
1661308560918,2022-08-23T22.36.00.918,14.359,-0.051,-0.030,-0.325
1661308560928,2022-08-23T22.36.00.928,14.369,0.023,0.017,-0.579
1661308560938,2022-08-23T22.36.00.938,14.379,0.037,-0.013,-0.603
1661308560949,2022-08-23T22.36.00.949,14.390,-0.096,-0.030,-0.334
1661308560957,2022-08-23T22.36.00.957,14.398,-0.058,0.006,-0.200
1661308560968,2022-08-23T22.36.00.968,14.409,0.016,0.016,-0.191
1661308560978,2022-08-23T22.36.00.978,14.419,0.009,-0.009,-0.241
1661308560988,2022-08-23T22.36.00.988,14.429,0.003,-0.025,-0.203
1661308560998,2022-08-23T22.36.00.998,14.439,-0.001,-0.025,-0.142
1661308561007,2022-08-23T22.36.01.007,14.448,-0.012,-0.023,-0.149
1661308561017,2022-08-23T22.36.01.017,14.458,-0.005,-0.002,-0.174
1661308561028,2022-08-23T22.36.01.028,14.469,0.020,0.027,-0.169
1661308561038,2022-08-23T22.36.01.038,14.479,0.043,0.046,-0.141
1661308561048,2022-08-23T22.36.01.048,14.489,0.058,0.052,-0.119
1661308561057,2022-08-23T22.36.01.057,14.498,0.054,0.047,-0.102
1661308561067,2022-08-23T22.36.01.067,14.508,0.036,0.033,-0.078
1661308561078,2022-08-23T22.36.01.078,14.519,0.025,0.025,-0.036
1661308561088,2022-08-23T22.36.01.088,14.529,0.020,0.023,0.009
1661308561098,2022-08-23T22.36.01.098,14.539,0.025,0.025,0.052
1661308561107,2022-08-23T22.36.01.107,14.548,0.025,0.028,0.087
1661308561117,2022-08-23T22.36.01.117,14.558,0.031,0.031,0.117
1661308561127,2022-08-23T22.36.01.127,14.568,0.030,0.036,0.145
1661308561138,2022-08-23T22.36.01.138,14.579,0.024,0.031,0.167
1661308561148,2022-08-23T22.36.01.148,14.589,0.023,0.031,0.188
1661308561157,2022-08-23T22.36.01.157,14.598,0.023,0.040,0.198
1661308561167,2022-08-23T22.36.01.167,14.608,0.027,0.048,0.209
1661308561177,2022-08-23T22.36.01.177,14.618,0.030,0.057,0.226
1661308561187,2022-08-23T22.36.01.187,14.628,0.025,0.061,0.246
1661308561198,2022-08-23T22.36.01.198,14.639,0.027,0.060,0.271
1661308561206,2022-08-23T22.36.01.206,14.647,0.023,0.051,0.292
1661308561217,2022-08-23T22.36.01.217,14.658,0.025,0.027,0.314
1661308561227,2022-08-23T22.36.01.227,14.668,0.015,-0.001,0.308
1661308561237,2022-08-23T22.36.01.237,14.678,-0.000,-0.010,0.267
1661308561246,2022-08-23T22.36.01.246,14.687,-0.012,-0.015,0.212
1661308561256,2022-08-23T22.36.01.256,14.697,-0.019,-0.012,0.182
1661308561267,2022-08-23T22.36.01.267,14.708,-0.019,-0.031,0.169
1661308561277,2022-08-23T22.36.01.277,14.718,-0.023,-0.038,0.155
1661308561287,2022-08-23T22.36.01.287,14.728,-0.030,-0.036,0.153
1661308561296,2022-08-23T22.36.01.296,14.737,-0.041,-0.026,0.162
1661308561306,2022-08-23T22.36.01.306,14.747,-0.040,-0.034,0.176
1661308561316,2022-08-23T22.36.01.316,14.757,-0.008,-0.046,0.161
1661308561327,2022-08-23T22.36.01.327,14.768,0.014,-0.009,0.074
1661308561337,2022-08-23T22.36.01.337,14.778,0.022,0.021,0.016
1661308561347,2022-08-23T22.36.01.347,14.788,0.018,0.024,0.009
1661308561356,2022-08-23T22.36.01.356,14.797,0.053,0.003,0.000
1661308561366,2022-08-23T22.36.01.366,14.807,0.055,0.009,0.035
1661308561376,2022-08-23T22.36.01.376,14.817,0.039,0.023,0.063
1661308561387,2022-08-23T22.36.01.387,14.828,0.023,0.006,0.056
1661308561395,2022-08-23T22.36.01.395,14.836,0.016,-0.006,0.049
1661308561406,2022-08-23T22.36.01.406,14.847,0.020,0.007,0.019
1661308561416,2022-08-23T22.36.01.416,14.857,0.001,0.052,-0.052
1661308561426,2022-08-23T22.36.01.426,14.867,0.020,0.084,-0.148
1661308561435,2022-08-23T22.36.01.435,14.876,0.039,0.082,-0.152
1661308561445,2022-08-23T22.36.01.445,14.886,0.027,0.066,-0.102
1661308561455,2022-08-23T22.36.01.455,14.896,0.005,0.046,-0.050
1661308561466,2022-08-23T22.36.01.466,14.907,0.015,0.026,-0.011
1661308561476,2022-08-23T22.36.01.476,14.917,0.044,0.015,-0.049
1661308561485,2022-08-23T22.36.01.485,14.926,0.047,0.046,-0.137
1661308561495,2022-08-23T22.36.01.495,14.936,0.046,0.075,-0.164
1661308561505,2022-08-23T22.36.01.505,14.946,0.030,0.071,-0.126
1661308561516,2022-08-23T22.36.01.516,14.957,-0.006,0.055,-0.109
1661308561526,2022-08-23T22.36.01.526,14.967,-0.029,0.048,-0.120
1661308561535,2022-08-23T22.36.01.535,14.976,-0.012,0.033,-0.095
1661308561545,2022-08-23T22.36.01.545,14.986,-0.007,0.007,-0.083
1661308561555,2022-08-23T22.36.01.555,14.996,-0.025,-0.006,-0.100
1661308561565,2022-08-23T22.36.01.565,15.006,-0.032,-0.002,-0.117
1661308561576,2022-08-23T22.36.01.576,15.017,-0.019,0.005,-0.100
1661308561586,2022-08-23T22.36.01.586,15.027,-0.015,0.007,-0.059
1661308561595,2022-08-23T22.36.01.595,15.036,-0.021,0.008,-0.042
1661308561605,2022-08-23T22.36.01.605,15.046,-0.027,0.014,-0.059
1661308561615,2022-08-23T22.36.01.615,15.056,-0.009,0.022,-0.065
1661308561625,2022-08-23T22.36.01.625,15.066,0.015,0.022,-0.035
1661308561634,2022-08-23T22.36.01.634,15.075,0.028,0.019,-0.001
1661308561644,2022-08-23T22.36.01.644,15.085,0.025,0.016,0.013
1661308561655,2022-08-23T22.36.01.655,15.096,0.020,0.023,0.027
1661308561665,2022-08-23T22.36.01.665,15.106,0.027,0.027,0.037
1661308561675,2022-08-23T22.36.01.675,15.116,0.030,0.028,0.029
1661308561684,2022-08-23T22.36.01.684,15.125,0.017,0.031,0.014
1661308561694,2022-08-23T22.36.01.694,15.135,0.008,0.040,0.005
1661308561704,2022-08-23T22.36.01.704,15.145,0.009,0.035,-0.002
1661308561715,2022-08-23T22.36.01.715,15.156,0.000,0.026,-0.006
1661308561724,2022-08-23T22.36.01.724,15.165,-0.008,0.017,-0.009
1661308561734,2022-08-23T22.36.01.734,15.175,-0.003,0.007,-0.009
1661308561744,2022-08-23T22.36.01.744,15.185,-0.001,0.005,-0.002
1661308561754,2022-08-23T22.36.01.754,15.195,-0.003,0.014,-0.001
1661308561765,2022-08-23T22.36.01.765,15.206,0.004,0.032,-0.000
1661308561773,2022-08-23T22.36.01.773,15.214,0.015,0.043,0.013
1661308561784,2022-08-23T22.36.01.784,15.225,0.014,0.041,0.032
1661308561794,2022-08-23T22.36.01.794,15.235,0.010,0.032,0.041
1661308561804,2022-08-23T22.36.01.804,15.245,0.012,0.027,0.039
1661308561814,2022-08-23T22.36.01.814,15.255,0.008,0.018,0.028
1661308561823,2022-08-23T22.36.01.823,15.264,-0.003,0.013,0.028
1661308561835,2022-08-23T22.36.01.835,15.276,-0.014,0.012,0.031
1661308561844,2022-08-23T22.36.01.844,15.285,-0.020,0.012,0.033
1661308561854,2022-08-23T22.36.01.854,15.295,-0.018,0.010,0.038
1661308561864,2022-08-23T22.36.01.864,15.305,-0.012,0.007,0.037
1661308561873,2022-08-23T22.36.01.873,15.314,-0.011,0.013,0.044
1661308561883,2022-08-23T22.36.01.883,15.324,-0.011,0.017,0.057
1661308561893,2022-08-23T22.36.01.893,15.334,-0.008,0.011,0.058
1661308561904,2022-08-23T22.36.01.904,15.345,-0.008,0.016,0.049
1661308561914,2022-08-23T22.36.01.914,15.355,0.000,0.025,0.033
1661308561923,2022-08-23T22.36.01.923,15.364,0.011,0.027,0.023
1661308561933,2022-08-23T22.36.01.933,15.374,0.013,0.030,0.030
1661308561943,2022-08-23T22.36.01.943,15.384,0.008,0.028,0.033
1661308561954,2022-08-23T22.36.01.954,15.395,-0.004,0.020,0.031
1661308561964,2022-08-23T22.36.01.964,15.405,-0.003,0.009,0.032
1661308561973,2022-08-23T22.36.01.973,15.414,-0.002,0.010,0.015
1661308561983,2022-08-23T22.36.01.983,15.424,-0.005,0.021,-0.016
1661308561993,2022-08-23T22.36.01.993,15.434,0.008,0.019,-0.017
1661308562003,2022-08-23T22.36.02.003,15.444,0.013,0.012,-0.001
1661308562012,2022-08-23T22.36.02.012,15.453,-0.007,0.015,0.000
1661308562022,2022-08-23T22.36.02.022,15.463,-0.005,0.020,-0.006
1661308562033,2022-08-23T22.36.02.033,15.474,0.009,0.027,-0.012
1661308562043,2022-08-23T22.36.02.043,15.484,0.002,0.036,-0.023
1661308562053,2022-08-23T22.36.02.053,15.494,0.003,0.040,-0.014
1661308562062,2022-08-23T22.36.02.062,15.503,0.007,0.045,-0.009
1661308562074,2022-08-23T22.36.02.074,15.515,0.002,0.044,-0.006
1661308562082,2022-08-23T22.36.02.082,15.523,0.007,0.029,0.006
1661308562093,2022-08-23T22.36.02.093,15.534,0.022,0.021,-0.104
1661308562103,2022-08-23T22.36.02.103,15.544,0.022,0.009,-0.217
1661308562112,2022-08-23T22.36.02.112,15.553,-0.025,0.030,0.032
1661308562122,2022-08-23T22.36.02.122,15.563,-0.019,0.004,-0.028
1661308562132,2022-08-23T22.36.02.132,15.573,-0.024,0.010,-0.010
1661308562142,2022-08-23T22.36.02.142,15.583,0.035,-0.010,-0.011
1661308562153,2022-08-23T22.36.02.153,15.594,0.003,-0.008,-0.011
1661308562163,2022-08-23T22.36.02.163,15.604,-0.001,-0.004,0.004
1661308562172,2022-08-23T22.36.02.172,15.613,-0.014,-0.012,0.008
1661308562182,2022-08-23T22.36.02.182,15.623,-0.000,-0.006,0.019
1661308562192,2022-08-23T22.36.02.192,15.633,0.001,0.002,0.005
1661308562203,2022-08-23T22.36.02.203,15.644,0.015,0.019,0.027
1661308562211,2022-08-23T22.36.02.211,15.652,0.014,0.034,0.020
1661308562222,2022-08-23T22.36.02.222,15.663,0.004,0.037,0.030
1661308562232,2022-08-23T22.36.02.232,15.673,0.019,0.026,0.009
1661308562242,2022-08-23T22.36.02.242,15.683,0.044,0.030,-0.024
1661308562252,2022-08-23T22.36.02.252,15.693,0.013,0.041,-0.056
1661308562261,2022-08-23T22.36.02.261,15.702,-0.000,0.040,-0.054
1661308562271,2022-08-23T22.36.02.271,15.712,0.019,0.037,-0.067
1661308562282,2022-08-23T22.36.02.282,15.723,0.037,0.043,-0.078
1661308562292,2022-08-23T22.36.02.292,15.733,0.017,0.019,-0.046
1661308562301,2022-08-23T22.36.02.301,15.742,0.053,0.029,-0.006
1661308562311,2022-08-23T22.36.02.311,15.752,0.040,0.018,0.018
1661308562321,2022-08-23T22.36.02.321,15.762,0.020,0.001,0.002
1661308562331,2022-08-23T22.36.02.331,15.772,0.020,0.017,-0.004
1661308562342,2022-08-23T22.36.02.342,15.783,0.007,0.007,0.010
1661308562350,2022-08-23T22.36.02.350,15.791,0.010,-0.005,0.006
1661308562361,2022-08-23T22.36.02.361,15.802,0.027,-0.005,0.004
1661308562371,2022-08-23T22.36.02.371,15.812,0.045,0.012,-0.006
1661308562381,2022-08-23T22.36.02.381,15.822,0.045,0.033,-0.012
1661308562392,2022-08-23T22.36.02.392,15.833,0.017,0.067,-0.084
1661308562402,2022-08-23T22.36.02.402,15.843,0.022,0.087,-0.143
1661308562411,2022-08-23T22.36.02.411,15.852,0.046,0.066,-0.227
1661308562421,2022-08-23T22.36.02.421,15.862,0.046,0.030,-0.472
1661308562431,2022-08-23T22.36.02.431,15.872,0.019,0.190,-0.617
1661308562441,2022-08-23T22.36.02.441,15.882,0.029,0.172,-0.442
1661308562450,2022-08-23T22.36.02.450,15.891,0.121,-0.089,-0.398
1661308562460,2022-08-23T22.36.02.460,15.901,0.079,-0.152,-0.513
1661308562471,2022-08-23T22.36.02.471,15.912,0.025,0.043,-0.595
1661308562481,2022-08-23T22.36.02.481,15.922,0.065,0.130,-0.618
1661308562491,2022-08-23T22.36.02.491,15.932,0.100,0.140,-0.604
1661308562500,2022-08-23T22.36.02.500,15.941,0.102,0.183,-0.562
1661308562510,2022-08-23T22.36.02.510,15.951,-0.020,0.188,-0.445
1661308562520,2022-08-23T22.36.02.520,15.961,0.020,0.239,-0.465
1661308562531,2022-08-23T22.36.02.531,15.972,0.056,0.260,-0.469
1661308562541,2022-08-23T22.36.02.541,15.982,-0.021,0.321,-0.442
1661308562550,2022-08-23T22.36.02.550,15.991,0.070,0.376,-0.414
1661308562560,2022-08-23T22.36.02.560,16.001,0.188,0.406,-0.387
1661308562570,2022-08-23T22.36.02.570,16.011,0.207,0.466,-0.368
1661308562580,2022-08-23T22.36.02.580,16.021,0.313,0.550,-0.404
1661308562589,2022-08-23T22.36.02.589,16.030,0.436,0.607,-0.419
1661308562600,2022-08-23T22.36.02.600,16.041,0.428,0.611,-0.427
1661308562610,2022-08-23T22.36.02.610,16.051,0.322,0.543,-0.337
1661308562620,2022-08-23T22.36.02.620,16.061,0.243,0.501,-0.278
1661308562630,2022-08-23T22.36.02.630,16.071,0.106,0.476,-0.253
1661308562639,2022-08-23T22.36.02.639,16.080,0.023,0.400,-0.319
1661308562651,2022-08-23T22.36.02.651,16.092,0.098,0.321,-0.365
1661308562660,2022-08-23T22.36.02.660,16.101,0.100,0.289,-0.387
1661308562670,2022-08-23T22.36.02.670,16.111,0.137,0.204,-0.366
1661308562680,2022-08-23T22.36.02.680,16.121,0.177,0.169,-0.324
1661308562689,2022-08-23T22.36.02.689,16.130,0.219,0.197,-0.269
1661308562699,2022-08-23T22.36.02.699,16.140,0.248,0.165,-0.239
1661308562709,2022-08-23T22.36.02.709,16.150,0.175,0.078,-0.261
1661308562720,2022-08-23T22.36.02.720,16.161,0.048,0.070,-0.290
1661308562730,2022-08-23T22.36.02.730,16.171,0.035,0.015,-0.282
1661308562739,2022-08-23T22.36.02.739,16.180,0.151,-0.051,-0.233
1661308562749,2022-08-23T22.36.02.749,16.190,0.225,0.044,-0.162
1661308562759,2022-08-23T22.36.02.759,16.200,0.269,-0.057,-0.156
1661308562769,2022-08-23T22.36.02.769,16.210,0.386,-0.178,-0.250
1661308562780,2022-08-23T22.36.02.780,16.221,0.283,-0.114,-0.075
1661308562788,2022-08-23T22.36.02.788,16.229,0.241,-0.030,-0.089
1661308562799,2022-08-23T22.36.02.799,16.240,0.238,0.052,-0.149
1661308562809,2022-08-23T22.36.02.809,16.250,0.249,0.087,-0.273
1661308562819,2022-08-23T22.36.02.819,16.260,0.281,0.137,-0.388
1661308562829,2022-08-23T22.36.02.829,16.270,0.336,0.188,-0.424
1661308562838,2022-08-23T22.36.02.838,16.279,0.368,0.225,-0.358
1661308562849,2022-08-23T22.36.02.849,16.290,0.393,0.249,-0.307
1661308562859,2022-08-23T22.36.02.859,16.300,0.345,0.287,-0.286
1661308562869,2022-08-23T22.36.02.869,16.310,0.251,0.334,-0.238
1661308562879,2022-08-23T22.36.02.879,16.320,0.217,0.274,-0.239
1661308562890,2022-08-23T22.36.02.890,16.331,0.129,0.239,-0.263
1661308562898,2022-08-23T22.36.02.898,16.339,0.036,0.212,-0.316
1661308562909,2022-08-23T22.36.02.909,16.350,-0.023,0.307,-0.326
1661308562919,2022-08-23T22.36.02.919,16.360,0.033,0.283,-0.271
1661308562929,2022-08-23T22.36.02.929,16.370,0.132,0.108,-0.238
1661308562938,2022-08-23T22.36.02.938,16.379,0.175,-0.018,-0.108
